                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0034,                0.92285,                 1.4683,                0.51571,                0.57184,                 0.5417,                 0.2283,                 1.5535,                  1.972,                 2.4085,              0.0013864,              0.0013864,              0.0013864
                     54,                0.86304,                0.86966,                 1.4362,                0.51571,                0.57184,                 0.5417,                 0.2283,                 1.5535,                  1.972,                 2.4085,              0.0013809,              0.0013809,              0.0013809
                     55,                0.94796,                 0.8923,                 1.4706,                0.85525,                0.85996,                0.88782,                0.35818,                 1.8272,                 1.6993,                 2.8282,              0.0013754,              0.0013754,              0.0013754
                     56,                0.75553,                0.75042,                 1.3162,                0.85525,                0.85996,                0.88782,                0.35818,                 1.8272,                 1.6993,                 2.8282,              0.0013699,              0.0013699,              0.0013699
                     57,                0.90162,                 0.8829,                 1.4112,                0.64482,                0.88248,                0.70961,                 0.1947,                 1.9128,                 2.1368,                 2.8665,              0.0013644,              0.0013644,              0.0013644
                     58,                0.98188,                0.91422,                 1.4851,                0.64482,                0.88248,                0.70961,                 0.1947,                 1.9128,                 2.1368,                 2.8665,              0.0013589,              0.0013589,              0.0013589
                     59,                0.99583,                0.92734,                 1.5879,                0.33113,                0.39229,                0.43829,                0.14879,                 2.4131,                 3.1742,                 3.2837,              0.0013534,              0.0013534,              0.0013534
                     60,                0.87214,                0.86521,                 1.4016,                0.33113,                0.39229,                0.43829,                0.14879,                 2.4131,                 3.1742,                 3.2837,              0.0013479,              0.0013479,              0.0013479
                     61,                0.76172,                0.76046,                 1.4162,                0.29778,                0.83085,                 0.3191,                0.22881,                 0.9399,                 3.1817,                 1.6104,              0.0013424,              0.0013424,              0.0013424
                     62,                0.88638,                0.80436,                 1.4803,                0.29778,                0.83085,                 0.3191,                0.22881,                 0.9399,                 3.1817,                 1.6104,              0.0013369,              0.0013369,              0.0013369
                     63,                 0.9409,                0.84705,                 1.4647,                 0.2192,                0.92808,                0.26239,                0.14917,                 1.2373,                  3.904,                 1.9305,              0.0013314,              0.0013314,              0.0013314
                     64,                0.85708,                 0.6924,                 1.3357,                 0.2192,                0.92808,                0.26239,                0.14917,                 1.2373,                  3.904,                 1.9305,              0.0013259,              0.0013259,              0.0013259
                     65,                0.73885,                 0.6933,                 1.3598,                0.27937,                0.80477,                0.31793,                0.17408,                 1.6397,                 4.2504,                 2.2644,              0.0013204,              0.0013204,              0.0013204
                     66,                0.82039,                0.75139,                 1.3422,                0.27937,                0.80477,                0.31793,                0.17408,                 1.6397,                 4.2504,                 2.2644,              0.0013149,              0.0013149,              0.0013149
                     67,                0.79248,                0.73609,                 1.3245,                0.43742,                 0.8638,                0.45923,                0.37531,                0.81668,                 2.3624,                 1.5589,              0.0013094,              0.0013094,              0.0013094
                     68,                0.85288,                0.71368,                 1.3766,                0.43742,                 0.8638,                0.45923,                0.37531,                0.81668,                 2.3624,                 1.5589,              0.0013039,              0.0013039,              0.0013039
                     69,                0.75091,                0.62752,                 1.3493,                0.59402,                0.92915,                0.75757,                0.66203,                0.66273,                 1.3771,                 1.2477,              0.0012984,              0.0012984,              0.0012984
                     70,                 0.7901,                 0.7677,                 1.3538,                0.59402,                0.92915,                0.75757,                0.66203,                0.66273,                 1.3771,                 1.2477,              0.0012929,              0.0012929,              0.0012929
                     71,                0.77637,                0.72636,                 1.3512,                0.97624,                      1,                0.97842,                0.85373,                0.62041,                0.67712,                 1.1799,              0.0012874,              0.0012874,              0.0012874
                     72,                0.67034,                0.57388,                 1.1819,                0.97624,                      1,                0.97842,                0.85373,                0.62041,                0.67712,                 1.1799,              0.0012819,              0.0012819,              0.0012819
                     73,                0.74278,                0.66238,                 1.3065,                0.59059,                0.89582,                0.72314,                0.63497,                0.77863,                 1.4018,                 1.3025,              0.0012764,              0.0012764,              0.0012764
                     74,                0.62627,                0.60888,                 1.2041,                0.59059,                0.89582,                0.72314,                0.63497,                0.77863,                 1.4018,                 1.3025,              0.0012709,              0.0012709,              0.0012709
                     75,                0.58609,                0.59156,                 1.1838,                0.79545,                0.86725,                0.88736,                0.76648,                0.76222,                 1.0157,                 1.3918,              0.0012654,              0.0012654,              0.0012654
                     76,                0.67758,                0.59225,                 1.1959,                0.79545,                0.86725,                0.88736,                0.76648,                0.76222,                 1.0157,                 1.3918,              0.0012599,              0.0012599,              0.0012599
                     77,                0.70519,                0.66301,                 1.2397,                 0.9683,                      1,                  0.991,                 0.8523,                0.74488,                0.72654,                 1.3263,              0.0012544,              0.0012544,              0.0012544
                     78,                0.72984,                0.60158,                 1.2869,                 0.9683,                      1,                  0.991,                 0.8523,                0.74488,                0.72654,                 1.3263,              0.0012489,              0.0012489,              0.0012489
                     79,                0.69563,                0.65152,                 1.2167,                0.98025,                      1,                0.99333,                 0.8538,                0.59585,                0.53181,                 1.1892,              0.0012434,              0.0012434,              0.0012434
                     80,                0.72602,                0.65871,                 1.2081,                0.98025,                      1,                0.99333,                 0.8538,                0.59585,                0.53181,                 1.1892,              0.0012379,              0.0012379,              0.0012379
                     81,                0.70252,                0.63695,                 1.2724,                 0.9763,                      1,                0.98883,                0.84141,                0.65367,                0.64717,                 1.3443,              0.0012324,              0.0012324,              0.0012324
